Id,Label
0,0
1,0
2,0
3,0
4,0
5,5
6,0
7,8
8,8
9,0
10,0
11,0
12,0
13,4
14,4
15,0
16,2
17,0
18,3
19,0
20,0
21,3
22,0
23,8
24,4
25,0
26,0
27,7
28,0
29,4
30,8
31,0
32,7
33,4
34,5
35,3
36,3
37,7
38,7
39,0
40,4
41,4
42,0
43,4
44,0
45,0
46,7
47,4
48,0
49,0
50,0
51,0
52,0
53,3
54,4
55,0
56,0
57,7
58,0
59,2
60,4
61,0
62,0
63,4
64,0
65,3
66,0
67,4
68,6
69,0
70,0
71,0
72,0
73,6
74,4
75,3
76,3
77,0
78,4
79,0
80,0
81,6
82,0
83,3
84,7
85,4
86,0
87,7
88,0
89,3
90,4
91,6
92,0
93,3
94,4
95,0
96,4
97,3
98,5
99,4
100,0
101,0
102,4
103,3
104,3
105,0
106,4
107,6
108,8
109,0
110,0
111,7
112,7
113,0
114,0
115,0
116,9
117,9
118,3
119,7
120,3
121,0
122,4
123,7
124,8
125,4
126,4
127,0
128,4
129,0
130,4
131,0
132,6
133,3
134,4
135,7
136,0
137,9
138,0
139,0
140,5
141,4
142,0
143,3
144,2
145,7
146,0
147,9
148,4
149,0
150,0
151,3
152,4
153,0
154,4
155,0
156,7
157,0
158,0
159,7
160,0
161,8
162,0
163,3
164,4
165,7
166,3
167,0
168,3
169,7
170,0
171,0
172,2
173,4
174,0
175,0
176,7
177,0
178,0
179,0
180,0
181,0
182,2
183,7
184,3
185,0
186,6
187,4
188,0
189,0
190,7
191,3
192,4
193,5
194,0
195,0
196,0
197,4
198,6
199,8
200,0
201,4
202,0
203,3
204,4
205,0
206,4
207,9
208,4
209,0
210,3
211,0
212,7
213,0
214,4
215,0
216,0
217,0
218,8
219,0
220,7
221,0
222,0
223,7
224,1
225,0
226,0
227,0
228,0
229,0
230,4
231,6
232,0
233,4
234,4
235,7
236,0
237,4
238,6
239,8
240,7
241,0
242,0
243,8
244,0
245,0
246,0
247,3
248,0
249,0
250,0
251,0
252,4
253,4
254,0
255,4
256,0
257,2
258,3
259,4
260,0
261,0
262,4
263,0
264,7
265,5
266,0
267,2
268,7
269,0
270,0
271,0
272,0
273,0
274,0
275,6
276,4
277,5
278,5
279,7
280,0
281,0
282,8
283,0
284,8
285,2
286,8
287,7
288,5
289,0
290,5
291,0
292,0
293,6
294,0
295,0
296,4
297,0
298,0
299,0
300,0
301,4
302,5
303,0
304,0
305,0
306,4
307,0
308,7
309,2
310,0
311,6
312,0
313,4
314,7
315,0
316,6
317,5
318,0
319,0
320,3
321,0
322,3
323,5
324,8
325,0
326,9
327,0
328,0
329,0
330,6
331,4
332,9
333,7
334,0
335,9
336,0
337,0
338,6
339,1
340,6
341,7
342,0
343,0
344,7
345,0
346,3
347,6
348,0
349,4
350,3
351,8
352,0
353,8
354,3
355,3
356,7
357,0
358,0
359,7
360,4
361,0
362,0
363,7
364,7
365,5
366,0
367,0
368,8
369,6
370,0
371,0
372,0
373,7
374,4
375,0
376,8
377,4
378,0
379,4
380,7
381,0
382,0
383,0
384,4
385,4
386,0
387,4
388,0
389,0
390,0
391,7
392,3
393,0
394,0
395,5
396,0
397,0
398,8
399,4
400,3
401,0
402,3
403,0
404,1
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,4
414,6
415,3
416,0
417,0
418,5
419,6
420,5
421,0
422,6
423,0
424,7
425,4
426,0
427,0
428,0
429,0
430,0
431,2
432,0
433,0
434,0
435,0
436,4
437,6
438,3
439,6
440,8
441,0
442,4
443,0
444,7
445,4
446,3
447,4
448,7
449,9
450,8
451,0
452,4
453,0
454,4
455,3
456,0
457,0
458,0
459,7
460,0
461,7
462,0
463,0
464,0
465,0
466,4
467,5
468,0
469,4
470,0
471,7
472,0
473,0
474,0
475,3
476,4
477,0
478,4
479,0
480,7
481,7
482,7
483,0
484,4
485,4
486,0
487,2
488,3
489,0
490,0
491,6
492,8
493,4
494,0
495,4
496,0
497,5
498,0
499,0
500,0
501,0
502,0
503,3
504,0
505,0
506,4
507,7
508,0
509,0
510,9
511,0
512,0
513,0
514,3
515,7
516,8
517,4
518,4
519,3
520,0
521,3
522,0
523,3
524,8
525,5
526,0
527,3
528,0
529,4
530,0
531,0
