Id,Label
0,0
1,0
2,0
3,0
4,0
5,4
6,0
7,8
8,8
9,0
10,0
11,0
12,0
13,4
14,4
15,0
16,3
17,0
18,2
19,0
20,0
21,3
22,0
23,8
24,0
25,4
26,0
27,7
28,0
29,3
30,8
31,0
32,7
33,3
34,5
35,3
36,3
37,7
38,7
39,0
40,3
41,4
42,6
43,4
44,0
45,0
46,7
47,4
48,0
49,4
50,0
51,0
52,0
53,3
54,4
55,0
56,4
57,0
58,0
59,2
60,4
61,0
62,0
63,4
64,0
65,3
66,0
67,4
68,6
69,0
70,0
71,0
72,0
73,6
74,4
75,3
76,3
77,0
78,4
79,0
80,0
81,6
82,0
83,1
84,7
85,4
86,0
87,7
88,4
89,3
90,3
91,4
92,0
93,3
94,4
95,0
96,5
97,3
98,5
99,4
100,0
101,0
102,4
103,3
104,3
105,0
106,4
107,6
108,8
109,4
110,0
111,7
112,7
113,0
114,5
115,4
116,9
117,9
118,3
119,7
120,8
121,4
122,0
123,7
124,8
125,4
126,0
127,0
128,0
129,0
130,4
131,0
132,4
133,3
134,4
135,7
136,4
137,9
138,0
139,0
140,0
141,0
142,6
143,8
144,2
145,7
146,0
147,9
148,4
149,0
150,5
151,3
152,4
153,5
154,4
155,4
156,7
157,0
158,4
159,7
160,0
161,8
162,4
163,3
164,5
165,7
166,4
167,3
168,3
169,7
170,0
171,0
172,3
173,3
174,0
175,1
176,7
177,0
178,0
179,4
180,0
181,0
182,2
183,7
184,6
185,0
186,5
187,4
188,8
189,0
190,7
191,3
192,4
193,5
194,0
195,0
196,3
197,4
198,3
199,8
200,0
201,0
202,0
203,3
204,4
205,4
206,4
207,9
208,4
209,4
210,5
211,0
212,7
213,0
214,1
215,0
216,0
217,4
218,8
219,0
220,7
221,0
222,0
223,7
224,1
225,0
226,0
227,0
228,0
229,0
230,5
231,6
232,0
233,0
234,4
235,7
236,0
237,4
238,6
239,8
240,7
241,4
242,0
243,8
244,0
245,0
246,0
247,3
248,5
249,0
250,0
251,6
252,6
253,4
254,0
255,4
256,4
257,2
258,3
259,4
260,4
261,0
262,0
263,0
264,7
265,5
266,0
267,2
268,7
269,0
270,0
271,0
272,0
273,0
274,4
275,6
276,4
277,8
278,4
279,7
280,0
281,0
282,8
283,4
284,8
285,0
286,8
287,7
288,0
289,0
290,5
291,0
292,4
293,3
294,0
295,0
296,4
297,8
298,0
299,0
300,0
301,3
302,5
303,0
304,0
305,0
306,4
307,4
308,7
309,2
310,0
311,6
312,0
313,4
314,7
315,6
316,6
317,5
318,0
319,4
320,3
321,4
322,6
323,0
324,7
325,0
326,9
327,0
328,0
329,0
330,0
331,4
332,9
333,7
334,5
335,9
336,0
337,0
338,3
339,1
340,6
341,7
342,0
343,4
344,7
345,0
346,2
347,6
348,0
349,4
350,3
351,8
352,0
353,8
354,3
355,3
356,7
357,0
358,4
359,7
360,0
361,0
362,0
363,7
364,7
365,0
366,0
367,0
368,8
369,6
370,3
371,0
372,4
373,7
374,4
375,0
376,8
377,5
378,0
379,5
380,7
381,0
382,0
383,4
384,4
385,0
386,0
387,5
388,0
389,0
390,0
391,7
392,3
393,0
394,4
395,5
396,0
397,9
398,8
399,4
400,3
401,0
402,0
403,0
404,1
405,0
406,0
407,4
408,0
409,0
410,0
411,0
412,4
413,4
414,5
415,3
416,4
417,4
418,5
419,0
420,5
421,3
422,6
423,0
424,7
425,0
426,4
427,0
428,0
429,0
430,0
431,2
432,0
433,0
434,0
435,0
436,4
437,6
438,3
439,6
440,8
441,0
442,0
443,0
444,7
445,4
446,8
447,3
448,7
449,9
450,8
451,0
452,4
453,0
454,4
455,0
456,2
457,0
458,0
459,7
460,0
461,7
462,0
463,0
464,0
465,0
466,0
467,0
468,4
469,4
470,0
471,7
472,0
473,0
474,3
475,4
476,4
477,0
478,0
479,0
480,7
481,7
482,7
483,6
484,4
485,4
486,5
487,2
488,3
489,0
490,0
491,6
492,8
493,0
494,0
495,4
496,0
497,5
498,0
499,0
500,0
501,0
502,0
503,3
504,4
505,0
506,4
507,7
508,4
509,0
510,9
511,0
512,0
513,0
514,0
515,7
516,9
517,4
518,4
519,3
520,0
521,1
522,4
523,1
524,8
525,4
526,0
527,3
528,4
529,0
530,4
531,0
